narrative_id,source,length,min_eq1_raw,avg_eq1_raw,min_eq1_normalised,avg_eq1_normalised,min_published,avg_published
30a,human,30,0.8485822677612305,0.877256453037262,0.502336859703064,0.6196104884147644,0.2523423433303833,0.38716915249824524
25b,human,25,0.8452564477920532,0.8767030835151672,0.4868905246257782,0.6175286173820496,0.23706237971782684,0.3845176696777344
20,human,20,0.8639857172966003,0.8805295825004578,0.5691172480583191,0.6331964135169983,0.3238944709300995,0.4025001525878906
15,human,15,0.847661018371582,0.8781021237373352,0.4981003403663635,0.6222870945930481,0.24810394644737244,0.39136940240859985
10,human,10,0.8639576435089111,0.8763774633407593,0.5690016150474548,0.6174448728561401,0.3237628638744354,0.38265395164489746
5,human,5,0.861179769039154,0.8720109462738037,0.5574623346328735,0.6003469228744507,0.31076425313949585,0.3619559109210968
nm_30a_rep0,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep1,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep2,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep3,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep4,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep5,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep6,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep7,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep8,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_30a_rep9,narrative_maps,31,0.8562063574790955,0.8940608501434326,0.536280632019043,0.681391179561615,0.2875969409942627,0.46811121702194214
nm_25b_rep0,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep1,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep2,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep3,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep4,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep5,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep6,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep7,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep8,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_25b_rep9,narrative_maps,26,0.852297306060791,0.8931249380111694,0.5191162824630737,0.6769796013832092,0.26948171854019165,0.46393531560897827
nm_20_rep0,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep1,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep2,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep3,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep4,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep5,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep6,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep7,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep8,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_20_rep9,narrative_maps,16,0.852297306060791,0.8834068775177002,0.5191162824630737,0.6421462893486023,0.26948171854019165,0.41681021451950073
nm_15_rep0,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep1,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep2,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep3,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep4,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep5,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep6,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep7,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep8,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_15_rep9,narrative_maps,15,0.8484310507774353,0.8848999738693237,0.5016436576843262,0.6479655504226685,0.25164633989334106,0.42391127347946167
nm_10_rep0,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep1,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep2,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep3,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep4,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep5,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep6,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep7,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep8,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_10_rep9,narrative_maps,8,0.8539069294929504,0.8878157734870911,0.5262424349784851,0.6574665904045105,0.2769310772418976,0.4383864998817444
nm_5_rep0,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep1,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep2,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep3,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep4,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep5,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep6,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep7,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep8,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
nm_5_rep9,narrative_maps,6,0.841116726398468,0.8886078596115112,0.4670403301715851,0.6570876240730286,0.21812666952610016,0.4429646134376526
random_30a_rep0,random,30,0.8283966183662415,0.8697280287742615,0.4006554186344147,0.5868290662765503,0.16052475571632385,0.3522200882434845
random_30a_rep1,random,30,0.839003324508667,0.8753736019134521,0.45661309361457825,0.6106257438659668,0.20849552750587463,0.3786693215370178
random_30a_rep2,random,30,0.839390218257904,0.8725655674934387,0.45853766798973083,0.6002593636512756,0.21025678515434265,0.36515504121780396
random_30a_rep3,random,30,0.8088893294334412,0.8732959032058716,0.2718329131603241,0.600267231464386,0.07389313727617264,0.369034081697464
random_30a_rep4,random,30,0.8402353525161743,0.8735315203666687,0.4627171754837036,0.6032423377037048,0.21410717070102692,0.36995929479599
random_30a_rep5,random,30,0.8402071595191956,0.870189905166626,0.4625784158706665,0.5912342667579651,0.21397879719734192,0.353790819644928
random_30a_rep6,random,30,0.8365153074264526,0.8686308860778809,0.44405874609947205,0.5836876630783081,0.19718816876411438,0.34673163294792175
random_30a_rep7,random,30,0.8308526873588562,0.8625039458274841,0.4142204821109772,0.5598798394203186,0.17157861590385437,0.3175828456878662
random_30a_rep8,random,30,0.8282614350318909,0.8689060807228088,0.39989688992500305,0.5842665433883667,0.15991751849651337,0.34819307923316956
random_30a_rep9,random,30,0.8291257619857788,0.8682505488395691,0.4047260284423828,0.5826315879821777,0.16380316019058228,0.34480375051498413
random_25b_rep0,random,25,0.8383378982543945,0.869051992893219,0.4532858431339264,0.586366593837738,0.2054680436849594,0.34854018688201904
random_25b_rep1,random,25,0.8239628076553345,0.8607122302055359,0.375037282705307,0.5501185059547424,0.14065296947956085,0.3095996081829071
random_25b_rep2,random,25,0.8256503343582153,0.871809184551239,0.38497236371040344,0.5935115814208984,0.14820371568202972,0.3623018264770508
random_25b_rep3,random,25,0.8330022096633911,0.8669071793556213,0.4257694482803345,0.5768647193908691,0.18127961456775665,0.3385826051235199
random_25b_rep4,random,25,0.8399974703788757,0.8685505986213684,0.46154430508613586,0.5843036770820618,0.21302315592765808,0.3461635112762451
random_25b_rep5,random,25,0.8309205770492554,0.8663048148155212,0.4145895540714264,0.5749182105064392,0.17188450694084167,0.3355836868286133
random_25b_rep6,random,25,0.8478211164474487,0.8727693557739258,0.4988388419151306,0.6018931269645691,0.24884019792079926,0.36593976616859436
random_25b_rep7,random,25,0.8509760499000549,0.8804590702056885,0.5132032632827759,0.6325092911720276,0.2633776068687439,0.40224751830101013
random_25b_rep8,random,25,0.8221247792243958,0.8648837208747864,0.36393219232559204,0.5677860379219055,0.13244664669036865,0.32908007502555847
random_25b_rep9,random,25,0.8236629366874695,0.8618152141571045,0.37324661016464233,0.5558649897575378,0.13931302726268768,0.3145357668399811
random_20_rep0,random,20,0.8356524705886841,0.8663938641548157,0.4396302103996277,0.5745977163314819,0.19327472150325775,0.33614256978034973
random_20_rep1,random,20,0.8429685235023499,0.8683408498764038,0.4760099947452545,0.5837770700454712,0.2265855222940445,0.3450564742088318
random_20_rep2,random,20,0.8319827318191528,0.8657995462417603,0.42032766342163086,0.5719985365867615,0.17667533457279205,0.33340272307395935
random_20_rep3,random,20,0.8378977179527283,0.8733841776847839,0.45107302069664,0.6027142405509949,0.20346686244010925,0.3692058324813843
random_20_rep4,random,20,0.8296958804130554,0.8672918081283569,0.4078826308250427,0.5788506865501404,0.1663682460784912,0.340251624584198
random_20_rep5,random,20,0.8480100631713867,0.8717745542526245,0.49970927834510803,0.5970069169998169,0.249709352850914,0.36145344376564026
random_20_rep6,random,20,0.8524478673934937,0.8814308047294617,0.519786536693573,0.6338528394699097,0.27017804980278015,0.40760406851768494
random_20_rep7,random,20,0.837943971157074,0.8626382946968079,0.45130592584609985,0.5607584118843079,0.20367704331874847,0.3181484043598175
random_20_rep8,random,20,0.841116726398468,0.8808517456054688,0.4670403301715851,0.6324610114097595,0.21812666952610016,0.404541552066803
random_20_rep9,random,20,0.8502354621887207,0.8785962462425232,0.5098630785942078,0.6236980557441711,0.2599603533744812,0.39388906955718994
random_15_rep0,random,15,0.8379303216934204,0.8718128204345703,0.45123714208602905,0.5972545742988586,0.2036149650812149,0.36153340339660645
random_15_rep1,random,15,0.8439532518386841,0.8726788759231567,0.48071959614753723,0.6017559170722961,0.23109133541584015,0.36540529131889343
random_15_rep2,random,15,0.8404092788696289,0.8678179383277893,0.4635730981826782,0.5827957987785339,0.21490001678466797,0.3423159420490265
random_15_rep3,random,15,0.8277824521064758,0.863894522190094,0.3971976637840271,0.5640091300010681,0.15776598453521729,0.32441282272338867
random_15_rep4,random,15,0.8322140574455261,0.8681533932685852,0.42156800627708435,0.5811953544616699,0.1777195781469345,0.34462398290634155
random_15_rep5,random,15,0.8284406661987305,0.8615818619728088,0.4009026885032654,0.554173469543457,0.16072297096252441,0.31364497542381287
random_15_rep6,random,15,0.8372653722763062,0.8693784475326538,0.44787663221359253,0.5867864489555359,0.2005934715270996,0.35017141699790955
random_15_rep7,random,15,0.8507146835327148,0.8703214526176453,0.5120265483856201,0.5926647186279297,0.26217120885849,0.35421496629714966
random_15_rep8,random,15,0.8424691557884216,0.8649692535400391,0.4736059010028839,0.5709800124168396,0.22430254518985748,0.32898029685020447
random_15_rep9,random,15,0.838047981262207,0.8654050230979919,0.45182934403419495,0.5710617303848267,0.2041497677564621,0.33141493797302246
random_10_rep0,random,10,0.835256040096283,0.8619803190231323,0.4375820457935333,0.5560816526412964,0.19147805869579315,0.3155444264411926
random_10_rep1,random,10,0.8476921916007996,0.8781678676605225,0.4982442855834961,0.6208184361457825,0.24824735522270203,0.39214012026786804
random_10_rep2,random,10,0.8621991276741028,0.8770708441734314,0.5617200136184692,0.6199284195899963,0.31552937626838684,0.3860020637512207
random_10_rep3,random,10,0.8470275402069092,0.8644402027130127,0.4951685667037964,0.5687211155891418,0.24519190192222595,0.32655131816864014
random_10_rep4,random,10,0.8445389270782471,0.8642468452453613,0.4835014343261719,0.5674321055412292,0.2337736338376999,0.3257584869861603
random_10_rep5,random,10,0.8240546584129333,0.8593161106109619,0.37558457255363464,0.5421305894851685,0.14106377959251404,0.30350494384765625
random_10_rep6,random,10,0.8404824733734131,0.8788788318634033,0.4639328718185425,0.6245882511138916,0.2152336984872818,0.39516061544418335
random_10_rep7,random,10,0.8419545888900757,0.8764479160308838,0.47111764550209045,0.6146705150604248,0.22195182740688324,0.3838549852371216
random_10_rep8,random,10,0.8431969285011292,0.8702725172042847,0.4771059453487396,0.5920856595039368,0.22763009369373322,0.3540380299091339
random_10_rep9,random,10,0.8255595564842224,0.8613198399543762,0.38444390892982483,0.5506981015205383,0.1477971076965332,0.31287992000579834
random_5_rep0,random,5,0.8377003073692322,0.8561149835586548,0.4500773251056671,0.5315148830413818,0.20256958901882172,0.2880174219608307
random_5_rep1,random,5,0.8542121052742004,0.8743329644203186,0.5275838971138,0.6070752143859863,0.2783447504043579,0.3735802471637726
random_5_rep2,random,5,0.830696165561676,0.8655606508255005,0.41336798667907715,0.5670961141586304,0.17087309062480927,0.33300715684890747
random_5_rep3,random,5,0.845984160900116,0.8681536316871643,0.4903066158294678,0.5824137330055237,0.24040058255195618,0.34433549642562866
random_5_rep4,random,5,0.8491360545158386,0.8732100129127502,0.5048690438270569,0.6000095009803772,0.2548927366733551,0.3689226508140564
random_5_rep5,random,5,0.8379276990890503,0.8698339462280273,0.45122388005256653,0.5866047739982605,0.20360299944877625,0.3528197407722473
random_5_rep6,random,5,0.8543798327445984,0.8809921145439148,0.5283200740814209,0.6303308010101318,0.27912208437919617,0.4061794877052307
random_5_rep7,random,5,0.8632436990737915,0.881498396396637,0.5660548210144043,0.6340422630310059,0.32041803002357483,0.40803682804107666
random_5_rep8,random,5,0.857974112033844,0.8793128728866577,0.5438899993896484,0.6280120015144348,0.2958163619041443,0.3967873752117157
random_5_rep9,random,5,0.8529266715049744,0.8842186331748962,0.5219124555587769,0.6431894898414612,0.2723926305770874,0.421275794506073
